THSCODE;DESCRIPT;LANG
MISCTOT;Sekalaiset;FI
SPICES;Mausteet;FI
SPISAUCE;Maustekastikkeet;FI
SAVSAUCE;Kastikkeet ja liemet ;FI
DESSAUCE;Jälkiruokakastikkeet;FI
INGRMISC;Sekalaiset ruoka-aineet;FI
SNACK;POISTETTU_Naposteltavat;FI
SNACKTOT;Naposteltavat;FI
SNACKSAV;Suolaiset naposteltavat;FI
SNACKVEG;Pähkinät, siemenet ja kuivatut hedelmät;FI
BABYFTOT;Lastenruoat;FI
BABMEATD;Baby lasten liharuokavalmiste;FI
BABFISHD;Baby lasten kalaruokavalmiste;FI
BABMILPO;Baby lasten maitopuuro;FI
BABWATPO;Baby lasten puuro veteen;FI
BABFRUB;Baby hedelmä- ja marjavalmiste;FI
BABVEGE;Baby lasten kasvisvalmiste;FI
BABMIFRU;Baby lasten hedelmämaitovalmiste;FI
BABOTHER;Lastenruoat tarkentamattomat;FI
MMILK;Äidinmaito ja äidinmaitokorvikkeet;FI
INFMILK;Tavanomaiset äidinmaidonkorvikkeet ja äidinmaito;FI
CASMILK;Kaseiinihydrolysaatit, äidinmaidonkorvikkeet;FI
PREMILK;Keskosten äidinmaidonkorvikkeet;FI
SOYMILK;Soijapohjaiset äidinmaidonkorvikkeet;FI
WHEYMILK;Heraproteiinihydrolysaatit, äidinmaidonkorvikkeet;FI
AMINMILK;Aminohappovalmisteet, äidinmaidonkorvikkeet;FI
SPECTOT;Ravintovalmisteet;FI
SPECSUPP;Ravintoainevalmisteet;FI
MEALREP;Ateriankorvikkeet;FI
SPORTFOO;Urheiluvalmisteet muut kuin juomat;FI
SPECFOOD;Kliiniset ravintovalmisteet;FI
MEATSAUC;Lihakastikkeet;FI
